sampleid	SampleName	spots_with_mates	category
SRR8445495	C166_31_Day28_11868	58023	diseased
SRR8445503	C166_32_Day28_11794	87430	diseased
SRR8445531	C166_33_Day0_12193	105444	diseased
SRR8445530	C166_33_Day14_12194	68077	diseased
SRR8445501	C166_33_Day28_11792	70925	diseased
SRR8445529	C166_33_Day28_12195	63671	diseased
SRR8445528	C166_33_Day42_12196	81380	diseased
SRR8445527	C166_34_Day14_12201	38087	diseased
SRR8445502	C166_34_Day28_11793	99459	diseased
SRR8445526	C166_34_Day42_12202	49192	diseased
SRR8445584	C166_01_Day28_11553	1709	diseased
SRR8445585	C166_01_Day42_11554	5500	diseased
SRR8445586	C166_03_Day0_11555	5835	diseased
SRR8445591	C166_05_Day0_10823	54971	diseased
SRR8445592	C166_05_Day14_10824	36166	diseased
SRR8445593	C166_05_Day28_10825	37892	diseased
SRR8445583	C166_05_Day42_11552	52689	diseased
SRR8445594	C166_05_Day56_10827	56695	diseased
SRR8445589	C166_08_Day14_10835	12626	diseased
SRR8445590	C166_08_Day28_10836	6040	diseased
SRR8445578	C166_08_Day42_10837	66199	diseased
SRR8445576	C166_09_Day28_10839	35535	diseased
SRR8445560	C166_10_Day0_12636	15194	diseased
SRR8445575	C166_10_Day14_10841	69816	diseased
SRR8445570	C166_10_Day42_10846	11970	diseased
SRR8445537	C166_11_Day0_10911	33817	diseased
SRR8445573	C166_11_Day14_10843	90948	diseased
SRR8445567	C166_11_Day14_12637	21126	diseased
SRR8445572	C166_11_Day28_10844	62641	diseased
SRR8445569	C166_12_Day0_10847	41874	diseased
SRR8445536	C166_13_Day42_10705	26049	diseased
SRR8445574	C166_13_Day42_10842	25065	diseased
SRR8445568	C166_18_Day14_10696	59284	diseased
SRR8445559	C166_18_Day28_10713	34589	diseased
SRR8445540	C166_20_Day14_10893	69670	diseased
SRR8445539	C166_20_Day28_10903	66099	diseased
SRR8445542	C166_20_Day42_10904	48934	diseased
SRR8445541	C166_21_Day0_10905	35563	diseased
SRR8445544	C166_21_Day14_10906	51179	diseased
SRR8445543	C166_21_Day28_10907	49610	diseased
SRR8445546	C166_21_Day42_10908	58459	diseased
SRR8445538	C166_22_Day0_10910	5722	diseased
SRR8445566	C166_22_Day14_12638	30279	diseased
SRR8445535	C166_22_Day42_12207	205	diseased
SRR8445565	C166_22_Day42_12639	43102	diseased
SRR8445545	C166_23_Day0_10909	45400	diseased
SRR8445582	C166_23_Day0_11699	554	diseased
SRR8445547	C166_23_Day14_12219	134173	diseased
SRR8445548	C166_23_Day28_12220	69893	diseased
SRR8445553	C166_23_Day42_12221	91657	diseased
SRR8445551	C166_25_Day0_12223	77007	diseased
SRR8445552	C166_25_Day14_12224	87745	diseased
SRR8445550	C166_26_Day56_12218	15920	diseased
SRR8445571	C166_27_Day0_11720	336	diseased
SRR8445577	C166_27_Day14_11721	17556	diseased
SRR8445564	C166_27_Day14_12640	62886	diseased
SRR8445554	C166_27_Day28_12222	68409	diseased
SRR8445579	C166_31_Day0_11696	24734	diseased
SRR8445580	C166_31_Day14_11697	487	diseased
SRR8445581	C166_31_Day42_11698	2080	diseased
SRR8445549	C166_31_Day42_12212	62137	diseased
SRR8445587	C166_32_Day0_11700	65187	diseased
SRR8445588	C166_32_Day14_11701	21090	diseased
SRR8445558	C166_34_Day0_12641	11159	diseased
SRR8445557	C166_34_Day14_12642	19556	diseased
SRR8445563	C166_42_Day0_12631	8667	diseased
SRR8445556	C166_42_Day0_12755	26169	diseased
SRR8445562	C166_42_Day14_12632	52695	diseased
SRR8445561	C166_42_Day42_12633	53206	diseased
SRR8445611	C166_01_Day0_10815	1641	diseased
SRR8445610	C166_01_Day14_10816	1658	diseased
SRR8445616	C166_03_Day0_10814	1103	diseased
SRR8445613	C166_03_Day28_10817	60140	diseased
SRR8445614	C166_05_Day42_10812	927	diseased
SRR8445595	C166_06_Day0_10828	57289	diseased
SRR8445612	C166_06_Day14_10818	46849	diseased
SRR8445619	C166_06_Day28_10819	87976	diseased
