sampleid	spots_with_mates	Experiment	LibraryName	Sample	SampleName	category
SRR8691465	283	SRX5487342	10653	SRS4459942	DNA_extract_control_10653	DNA_extraction_control
SRR8691464	249	SRX5487343	10708	SRS4459943	DNA_extract_control_10708	DNA_extraction_control
SRR8691463	1134	SRX5487344	10709	SRS4459944	DNA_extract_control_10709	DNA_extraction_control
SRR8691462	491	SRX5487345	10712	SRS4459945	DNA_extract_control_10712	DNA_extraction_control
SRR8691461	1036	SRX5487346	11233	SRS4459946	DNA_extract_control_11233	DNA_extraction_control
SRR8691460	220	SRX5487347	11866	SRS4459947	DNA_extract_control_11866	DNA_extraction_control
SRR8691459	274	SRX5487348	11871	SRS4459948	DNA_extract_control_11871	DNA_extraction_control
